L1,L2,L3
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,CCOC(=O)COc1ccc(Cl)cc1C=Nn1c(-c2ccccc2)nc2ccccc2c1=O
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CCCCOc1cc2nc3c4cccnc4c4ncccc4c3nc2cc1OCCCC
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,Cc1cccnc1Nc1ccc(C2CCCCN2C(=O)Cc2cccnc2)cn1
c1ccc(-c2ccccn2)nc1,c1ccc(-c2ccccn2)nc1,CC(C)[C@@H]1C[C@H](CC(=O)NCc2ccc(O)c3ncccc23)CCO1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,CN(C)c1ccc(/C=C/c2ccnc3c(O)cccc23)cc1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,COc1cc(C=Nn2c(-c3cccc(C(F)(F)F)c3)nc3ccccc3c2=O)cc([N+](=O)[O-])c1OCC(=O)Nc1ccccc1C
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CC(C)C(O)c1ccc(-c2ccc(C(N)=O)cn2)nc1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,CN1CCCN(c2ccc3nc(-c4cccc(CSCCO)c4)n(/N=C\c4ccc(Cl)c(C(F)(F)F)c4)c(=O)c3c2)CC1
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,COC(=O)c1ccnc(-c2cc(C(=O)NCc3ccccc3NC(=O)OC(C)(C)C)ccn2)c1
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,O=c1c2ccccc2nc(-c2cccc(C(F)(F)F)c2)n1N=Cc1cc(Br)c(OCc2ccc(F)cc2)c(Br)c1
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,COc1cc(C=Nn2c(-c3cccc(C(F)(F)F)c3)nc3ccccc3c2=O)ccc1O
c1cnc2c(c1)ccc1cccnc12,c1cnc2c(c1)ccc1cccnc12,Cc1cc(C#N)cnc1Nc1cc(-c2nc(N[C@H]3CCNCC3(C)C)c3c(C4CCC4)cncc3n2)ccn1
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,O=c1c2ccccc2nc(-c2cccc(C(F)(F)F)c2)n1N=Cc1cc(Cl)cc([N+](=O)[O-])c1OCc1cccc2ccccc12
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,COc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2cccc(OCC#N)c2)cc1C(C)C
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,C/C(N)=C(\C)N=Cc1ccnc(-c2cc(C)ccn2)c1
Cc1ccnc(-c2cc(C)ccn2)c1,Cc1ccnc(-c2cc(C)ccn2)c1,CCCCCCC/C=C\c1ccnc(-c2ccccn2)c1
