UMAP1,UMAP2,Dataset
4.262965,8.801828,t
2.715056,-0.53939134,t
4.26944,8.780263,t
4.2644157,8.800278,t
4.267496,8.803427,t
4.2619853,8.802459,t
4.258228,8.779298,t
4.279001,8.798273,t
4.2727704,8.799188,t
4.261386,8.807861,t
4.2683964,8.810784,t
4.184789,8.731571,t
4.194154,8.740507,t
4.207477,8.756949,t
4.256944,8.793311,t
11.582391,2.0147846,t
5.569697,7.2232833,t
0.7544131,-3.7242858,t
9.932082,-2.9205885,t
1.6200112,-0.602501,t
11.586707,2.02037,t
-1.2125884,-2.0841885,t
11.589006,2.015734,t
11.585323,2.0159047,t
11.652631,2.079553,t
11.637442,2.065199,t
5.586624,7.217599,t
0.7474767,-1.683474,t
4.255875,8.784929,t
4.2601805,8.796616,t
0.8893157,-2.6293032,t
4.299796,8.797627,t
0.890241,-2.7794886,t
2.8193407,-0.883211,t
2.8032482,-0.8574854,t
-13.44615,0.8618533,t
3.3196695,-0.883161,t
3.3160849,-0.6970353,t
11.58079,2.0125306,t
-1.2820165,-4.9441814,t
2.7250721,-1.1117958,t
-4.679165,-0.008347315,t
2.768999,-1.1195135,t
-0.038333997,-0.7312612,t
11.580524,2.0143642,t
3.2620711,-0.89000916,t
0.632725,-1.7651364,t
3.3650124,-0.7689564,t
1.2374675,-3.0220356,t
3.368417,-0.70783895,t
4.9805784,0.29345003,t
5.030062,0.29917237,t
4.9599953,0.2730293,t
4.973001,0.2786932,t
5.019681,0.27967766,t
-2.7542794,8.222876,t
-2.774542,8.223035,t
6.7751803,1.8389779,t
6.780022,1.8338791,t
-2.5543513,-1.4137981,t
2.6487978,-0.8307613,t
-0.9690869,-1.5711936,t
3.240809,-0.7723557,t
2.7998793,-1.1456882,t
-13.449918,0.8658403,t
2.7990386,-1.1327814,t
11.598357,2.528957,t
9.456791,-1.6382806,t
11.596508,2.5267944,t
11.593935,2.5156522,t
-0.8739945,-3.7550945,t
10.667119,-3.095281,t
10.672609,-3.103359,t
10.663439,-3.0926692,t
10.63132,-3.145215,t
10.668226,-3.0992858,t
10.678904,-3.1024563,t
10.666117,-3.0976298,t
10.689344,-3.0967305,t
10.676985,-3.0984182,t
10.693052,-3.0966387,t
10.674651,-3.0787036,t
10.681018,-3.0669947,t
3.3723195,-0.72655267,t
3.3475296,-0.7259892,t
8.537305,-7.355207,t
8.463382,-7.350984,t
-1.614388,-2.392444,t
1.1444106,-2.926352,t
1.1438332,-2.9490445,t
1.1192096,-2.984112,t
2.7442932,-1.009817,t
-13.447973,0.862475,t
2.7936664,-1.0367488,t
3.4091146,-0.88188887,t
3.3596869,-0.6869381,t
8.494254,-7.384232,t
2.7305996,-1.103049,t
2.7821565,-1.0785403,t
0.856947,-3.9726965,t
3.4328353,-0.8968532,t
3.3926582,-0.75807124,t
3.4129877,-0.87496865,t
-1.293032,-1.4797698,t
-0.6694844,-0.862459,t
3.3880816,-0.8869474,t
3.350595,-0.69630045,t
1.6964809,1.5225862,t
1.7013558,1.527284,t
2.731658,-1.1329654,t
-4.6849194,-0.0060561527,t
2.7869875,-1.0642655,t
3.3948135,-0.89206386,t
3.3324537,-0.8956588,t
3.3357804,-0.72551626,t
8.467736,-7.401739,t
8.4851055,-7.3916717,t
8.483322,-7.3833275,t
-7.4018545,-2.172272,t
11.603168,2.0043595,t
-1.1137159,-0.96324235,t
-3.706388,8.759384,t
5.573484,7.200989,t
-2.673165,-0.91418886,t
-3.1636908,0.12064285,t
5.579438,7.207681,t
11.588018,2.017522,t
1.4256958,-2.4234593,t
5.58102,7.2164345,t
5.574854,7.2033534,t
8.538246,-7.3562145,t
8.538914,-7.3562927,t
8.538595,-7.356197,t
-8.389944,-3.286654,t
-5.1080804,-8.585388,t
-8.436866,-3.2805002,t
0.5006582,-2.5573087,t
9.71198,-4.809736,t
0.5205615,-2.542976,t
0.5214328,-2.5461967,t
-10.616389,-5.43918,t
13.663655,0.9475748,t
-10.612367,-5.435221,t
-10.614725,-5.438267,t
13.664179,0.947955,t
13.66432,0.94806266,t
13.6641865,0.947843,t
1.0117835,-3.250204,t
-5.50861,8.440397,t
-10.610068,-5.431524,t
-10.587497,-5.431297,t
-5.507044,8.440232,t
-11.524035,-5.7117825,t
-11.524863,-5.711972,t
-11.52825,-5.7134156,t
-1.3874824,-2.9525135,t
1.7127093,1.5279052,t
1.7116123,1.5294145,t
2.8167226,-1.001423,t
2.8398647,-0.9875354,t
-2.622527,-3.2220109,t
-4.6655736,0.024518898,t
-0.123853594,0.5078756,t
-0.26535872,0.4329946,t
-4.676645,0.01164426,t
3.230611,-0.68868256,t
3.4594367,-0.6693318,t
0.8467502,-3.7377832,t
0.95353466,-3.8648176,t
0.7849473,-3.5887918,t
11.58089,2.0121489,t
3.372223,-0.6944799,t
3.3705084,-0.69298416,t
3.1407928,-0.7807043,t
3.138381,-0.77760947,t
3.1662714,-0.83174247,t
2.8916059,-3.574283,t
1.184444,3.0062592,t
1.1628509,3.0657904,t
3.2418613,-0.8338621,t
3.2178683,-0.81688106,t
-0.67868394,-0.88115335,t
3.1921809,-0.7948247,t
3.2024925,-0.82246214,t
3.2022836,-3.175711,t
-8.410071,-3.272416,t
3.2137752,-0.8385773,t
3.2611158,-0.83210105,t
11.592191,2.0132663,t
11.589832,2.0152216,t
11.581447,2.0092208,t
3.4135237,-0.8263767,t
3.3909247,-0.7104752,t
11.582153,2.0090692,t
-7.277353,1.6241289,t
0.08737936,5.2108617,t
2.3871033,4.9557486,t
-4.382008,5.037826,t
11.586379,2.0119529,t
11.583874,2.010911,t
1.3592278,-2.4192417,t
1.354963,-2.351832,t
11.581139,2.0155501,t
11.189881,-3.5649815,t
1.2962874,-2.4531054,t
1.4712014,-2.2027545,t
1.4795716,-2.217673,t
11.566102,2.0218673,t
11.190242,-3.5651455,t
1.5469229,-2.1586955,t
3.4015334,-0.8844397,t
3.330186,-0.70892197,t
2.7181902,-0.99349034,t
3.3550475,-0.8536344,t
3.414803,-0.85387254,t
3.4631634,-0.72941154,t
3.2411394,-0.84463245,t
2.8337688,-1.0859246,t
3.352841,-0.7049177,t
3.3302784,-0.7243378,t
3.4096072,-0.8752475,t
-4.6800413,0.0010383435,t
3.4247813,-0.7379036,t
-1.2625586,-1.56227,t
2.7606907,-1.1307523,t
0.93836826,-2.5581915,t
11.588771,2.0041947,t
11.190065,-3.5650303,t
0.507966,-3.7224402,t
3.2934456,-0.69955623,t
3.291609,-0.8703425,t
0.9490396,-2.5524828,t
11.587136,2.0168772,t
11.190665,-3.5655127,t
0.5288584,-3.7750823,t
2.7408404,-1.3219601,t
2.7029986,-1.3377159,t
9.932519,-2.9216526,t
9.932822,-2.9201767,t
9.92395,-2.9224818,t
2.6808193,-1.1333996,t
0.23961468,-2.8608298,t
0.3929361,-2.9831045,t
6.369013,8.748321,t
6.4360814,8.737241,t
2.8442447,-1.1213002,t
2.8974836,-1.1828651,t
-1.7903008,-5.078443,t
0.020242007,-2.8890898,t
-1.8206389,-5.0830083,t
-0.6334747,-2.5574396,t
-1.8037763,-5.0828447,t
-9.091053,-8.273299,t
-10.615981,-5.439608,t
8.479863,-7.370648,t
8.486581,-7.3745866,t
-9.091155,-8.273285,t
-13.294275,-4.3210673,t
-13.294816,-4.3210225,t
-13.294646,-4.3212056,t
-13.294912,-4.321306,t
-13.29507,-4.3213587,t
-13.2956295,-4.3214707,t
-9.091248,-8.273611,t
-10.616207,-5.4396486,t
2.9361491,-0.29682225,t
2.9547303,-0.33197793,t
2.9936566,-0.376971,t
3.2473793,-0.8875067,t
2.8798094,-1.0208317,t
2.8159359,-1.1199979,t
1.5545253,-2.4091184,t
1.2152348,-2.6192334,t
3.0314038,-0.9511032,t
2.9498317,-0.97987866,t
1.5424222,-2.57205,t
1.4879371,-2.51488,t
3.2844446,-0.7772617,t
1.2803946,-2.6246467,t
2.9054441,-0.9934332,t
0.041184604,-2.3470004,t
1.1596346,-3.9838016,t
0.08254991,-1.3739119,t
0.45609367,-1.6131244,t
0.034125756,-2.1002479,t
2.710581,-0.55879664,t
2.6921592,-0.60864985,t
-4.6634283,-0.13061202,t
-4.670729,-0.13941419,t
3.0262165,-0.5620321,t
3.0393064,-0.6217756,t
3.3227108,-0.7413904,t
-4.6750493,0.00261805,t
-13.449379,0.86178833,t
3.6115084,-0.46846104,t
0.03643411,-2.0897813,t
1.2712237,-2.6354277,t
-0.50051945,-1.1319513,t
3.1884513,-0.89192367,t
-4.6312795,-0.14955348,t
2.6443505,-0.5702496,t
0.08085823,-1.3744683,t
-0.10800638,-1.1675385,t
3.4558964,-0.58046144,t
0.46130544,-1.6262732,t
2.9953902,-0.55224854,t
1.2033218,-1.9649602,t
1.1736095,-1.918394,t
-2.4825914,-1.4135529,t
1.2051563,-1.9615933,t
1.1391124,-2.2488394,t
3.4046195,-0.85098,t
2.847538,-1.009302,t
2.8337002,-1.1001827,t
3.3245916,-0.83631635,t
-1.0176038,-1.0471525,t
-1.0266415,-1.0447241,t
-1.0069284,-1.0304757,t
1.4821242,-2.2643251,t
2.9709384,-0.50259984,t
3.3587775,-0.82023954,t
2.7337077,-0.8586509,t
2.715952,-0.8352841,t
1.5512123,-2.5752628,t
1.4204172,-2.5282228,t
3.4944177,-0.5482353,t
8.517247,3.0579903,t
1.1596336,-2.675984,t
-5.882231,5.7457747,t
0.067405485,-1.5228508,t
-1.1248126,-0.96889794,t
-1.196447,-0.89108855,t
3.2130132,-0.8628079,t
2.9391506,-0.6316572,t
11.580602,2.014143,t
0.42216304,-1.5969342,t
5.5863075,7.215727,t
8.962824,-4.870904,t
11.579816,2.0139751,t
-4.6786575,0.007991904,t
-4.6698356,0.0051552597,t
11.576523,2.0131874,t
-4.6519094,0.007856701,t
-4.660909,0.010793647,t
-4.69056,0.030351978,t
-4.6807246,-0.0597366,t
11.579786,2.0126796,t
11.576901,2.010412,t
5.538479,7.148105,t
-13.448131,0.86187977,t
-4.6337004,-0.15102932,t
2.6522462,-0.5982741,t
0.082241446,-2.146949,t
0.41910633,-1.6044626,t
-13.449794,0.8618727,t
3.1439223,-0.6180812,t
-13.445344,0.86176175,t
-13.450344,0.86190766,t
-13.450322,0.8619424,t
-13.447859,0.862511,t
-13.449543,0.8598815,t
-13.443823,0.8611606,t
2.696016,-0.82892644,t
2.8384273,-0.99700487,t
0.037709158,-2.5118675,t
0.024540864,-2.5781837,t
5.5863094,7.2155876,t
5.5880456,7.217925,t
8.972786,-4.8850446,t
2.8646915,-1.1605651,t
5.5444646,7.157986,t
3.32586,-0.71212435,t
3.0028036,-0.65426093,t
3.3580587,-0.7028368,t
3.228904,-0.7530357,t
2.727737,-0.841115,t
8.965205,-4.871312,t
8.963927,-4.8779287,t
-4.669172,-0.14170499,t
2.8348522,-0.88976353,t
2.8033476,-0.86051,t
2.855604,-0.92027855,t
2.8155332,-0.8658701,t
1.5191342,-2.5792508,t
1.5192937,-2.5908008,t
8.517649,3.0550268,t
3.6052232,-0.45896178,t
8.520232,3.0541165,t
1.0400215,-3.5872695,t
2.92731,-0.30119827,t
2.9276013,-0.30661416,t
2.9672225,-0.31671703,t
3.325033,-0.78818023,t
5.536388,7.142218,t
