UMAP1,UMAP2,Dataset
11.884843,1.2515994,t
-7.503629,2.0387719,t
3.831038,-4.097958,t
-8.002983,1.8769556,t
3.071839,-9.553198,t
11.884618,1.2521787,t
11.886445,1.248054,t
-0.8949704,3.8442774,t
-2.4336534,-1.2133393,t
11.88541,1.2498935,t
8.865308,9.396504,t
3.6583312,-0.5940618,t
0.5529842,-2.7471702,t
-2.2116325,-2.4132566,t
11.887299,1.247073,t
8.86523,9.396054,t
1.8908446,1.8191699,t
2.005939,4.995559,t
3.9836943,-2.9794133,t
-6.672599,8.4461775,t
-4.83324,0.12044752,t
2.0035672,5.0073304,t
3.9748805,-2.9743645,t
1.9703106,4.9370937,t
3.3551414,-1.0252036,t
4.0046525,-2.9845667,t
3.9887633,-2.9817095,t
1.9851367,4.993159,t
11.867084,1.2622296,t
3.9860818,-2.9819837,t
1.1769737,-4.4195027,t
1.7508245,4.421629,t
0.31470376,-2.4553242,t
11.88685,1.2487075,t
8.865544,9.397031,t
0.32969373,0.22079074,t
4.011457,-3.0058742,t
1.965598,4.9338646,t
0.22792132,-2.3072324,t
11.889572,1.2483637,t
8.864821,9.397686,t
1.907014,0.41453397,t
1.7960168,4.447953,t
3.3363502,-1.0093619,t
2.6380267,7.7636123,t
2.6305263,7.775801,t
2.6299353,7.775579,t
2.5830786,-0.9549287,t
2.54976,-0.9472635,t
-0.22352016,1.4623725,t
8.750683,-4.8840904,t
8.773755,-4.8927584,t
-0.36736932,-2.0926504,t
2.8226547,-0.039841216,t
2.5987022,-2.1360161,t
2.6208365,-2.1246607,t
-0.35015854,-2.1845653,t
2.793074,0.015033915,t
-0.2912216,-2.1120517,t
-5.009376,-7.5184207,t
-5.016305,-7.533913,t
-12.500244,4.3944426,t
-12.500293,4.3940396,t
-12.499742,4.393585,t
-12.502948,4.390963,t
-12.503101,4.3913393,t
-12.503017,4.3913836,t
-12.502673,4.3921375,t
-12.502919,4.3915834,t
-12.50325,4.391604,t
-5.0097356,-7.5188875,t
-5.0172663,-7.5304494,t
2.4172633,-2.827927,t
2.448377,-2.7132826,t
2.445433,-2.6592653,t
2.445867,-2.6329098,t
2.4154592,-2.432725,t
2.4324486,-2.5001972,t
2.4498763,-2.6490467,t
2.4510942,-2.6394165,t
0.6340953,8.713322,t
0.63494706,8.708038,t
0.6330468,8.714509,t
0.6332842,8.7146225,t
0.6404758,8.694338,t
0.6397636,8.695914,t
0.64129764,8.688592,t
0.65271467,8.675515,t
0.6391897,8.69402,t
-0.08519473,-1.8528531,t
-0.16476049,-1.9659746,t
0.27873847,-0.9037889,t
1.902941,4.3578076,t
1.9240962,4.336544,t
2.0599205,4.4357715,t
2.0595908,4.425651,t
3.8071048,-3.2658138,t
3.7964506,-3.2012415,t
0.7833411,12.786833,t
11.871034,1.2601779,t
10.219347,-8.35148,t
0.7835156,12.785261,t
0.23332818,-0.95510197,t
0.41443753,-2.4327848,t
-0.124027684,-2.2220185,t
1.9487605,4.9177346,t
1.8972259,4.424729,t
1.8500458,4.386087,t
-0.46137172,-2.3540275,t
-0.54349786,-2.7736433,t
1.82784,4.4058805,t
-0.326737,-2.1782405,t
1.7183242,4.8903856,t
0.22807677,-2.2404652,t
0.23009023,-2.2652802,t
1.6941539,4.406192,t
0.23550783,-2.259823,t
0.18683441,-2.1832376,t
2.0658782,4.9449778,t
1.7533058,4.4073615,t
1.7372309,4.412272,t
1.9618065,4.9593654,t
2.5781577,-2.153368,t
2.5893924,-2.162671,t
2.5810692,-2.146351,t
8.865803,9.401518,t
1.7394065,4.9046025,t
2.0152407,4.9221773,t
0.7827128,12.787226,t
3.9286103,-0.84518987,t
1.6800228,4.5277696,t
0.14728834,-1.7801653,t
1.8734366,4.379955,t
-0.5606071,-2.1655564,t
0.6167335,-2.0136218,t
5.0671706,2.061159,t
0.28950524,-2.0302243,t
1.5115607,-3.178025,t
2.026619,-3.9651248,t
1.9480686,4.905804,t
1.6350217,-2.0965047,t
11.887429,1.2469064,t
-0.32549337,-2.0874422,t
-11.721917,6.989486,t
11.7086115,7.2462425,t
11.887329,1.2463206,t
11.867912,1.261393,t
11.867076,1.2598134,t
11.885494,1.2484344,t
11.856056,1.2480215,t
11.864674,1.2559302,t
11.868839,1.2636732,t
2.06002,4.421574,t
11.8884535,1.2457597,t
11.889451,1.2426882,t
2.0076644,4.7090244,t
10.21956,-8.351104,t
1.9847935,4.341336,t
3.3541965,-0.8977837,t
2.647029,-0.7263316,t
-0.2472255,-2.0366657,t
10.22075,-8.351329,t
3.9518454,-2.881137,t
10.2100935,-8.354065,t
10.220499,-8.350873,t
10.221061,-8.350814,t
10.206213,-8.352864,t
10.209461,-8.354084,t
10.210814,-8.354703,t
3.3663034,-0.96072954,t
3.3448906,-0.9966177,t
2.5153365,-0.56147003,t
2.403612,-0.45910126,t
-11.721361,6.989731,t
-11.722056,6.989788,t
11.708533,7.2465773,t
3.4356518,-1.034215,t
2.0260773,4.6996713,t
-10.152471,-6.7089624,t
1.4864619,4.554823,t
3.9510212,-2.9466317,t
3.962129,-2.858597,t
3.9319332,-0.8493157,t
11.7085495,7.246589,t
11.715644,7.246736,t
2.054246,4.4150724,t
3.3553128,-0.9464256,t
3.3643174,-0.95838773,t
3.4004498,-0.93620825,t
3.36283,-0.9572683,t
3.932529,-2.907869,t
2.7233472,-0.7124702,t
-0.57039946,-2.1838803,t
3.7939346,-2.643954,t
-0.523842,-2.1848192,t
2.1334317,-0.6781791,t
2.2463303,-4.021485,t
2.5221348,-3.934667,t
3.0124612,-3.6718,t
3.8092349,-2.8589292,t
2.0174556,4.713675,t
