UMAP1,UMAP2,Dataset
11.19617,-2.756492,g
-0.017842466,2.3831556,g
7.869799,9.297833,g
-5.09247,-8.113129,g
-0.0013187166,12.118382,g
-7.535936,1.9385105,g
3.9831367,-3.8564394,g
-1.0244783,5.9453044,g
-12.391711,2.2439744,g
-5.1467743,5.843166,g
2.2441127,0.5414769,g
0.7344922,-4.6683717,g
2.873591,-10.110207,g
-12.834755,-0.09833506,g
-1.8290693,1.8265508,g
-12.317016,-1.47422,g
-3.6128328,0.19563498,g
-2.638273,5.9530272,g
5.35382,6.7022276,g
6.198007,-3.8470843,g
-4.6841207,7.4419928,g
2.2386632,-5.5005665,g
0.30998707,0.5433096,g
9.434054,1.7293301,g
-11.491717,4.0739355,g
-7.569064,1.8943574,g
5.644404,-3.760223,g
0.9546116,-3.7970188,g
2.1189191,-3.0187361,g
6.6380587,-1.4559779,g
-9.946059,5.4109693,g
6.1866927,-0.15002057,g
-8.093209,5.1990366,g
4.2838645,2.4223366,g
-1.0868031,3.1433651,g
5.170781,4.8658185,g
11.473065,-7.50326,g
0.86015517,-2.8192434,g
9.601023,1.1746862,g
-3.0095592,-12.012061,g
-5.6920323,-2.480623,g
3.3653228,3.4856353,g
-4.269217,1.1435683,g
9.20949,9.943602,g
0.42440775,0.99771065,g
-1.0408579,3.592957,g
5.022043,-4.9395137,g
8.000957,-6.8916783,g
3.7972987,4.8507776,g
-2.292175,1.7238244,g
-6.4161034,-0.38802433,g
2.1458716,-3.9574714,g
-8.682083,-8.900936,g
-7.114972,2.113615,g
-4.0659404,4.1961403,g
3.7440581,-5.4254793e-05,g
-1.2430197,3.355722,g
-1.2207046,-4.963003,g
2.2358642,-1.7346147,g
-2.400361,2.1582174,g
0.28341913,-9.736512,g
-0.6128799,-1.5258356,g
-8.34117,1.4151748,g
5.324204,6.6574197,g
0.36709172,1.9353235,g
-2.9815013,6.550806,g
-0.581686,2.1530962,g
-2.6308978,2.004781,g
2.7858715,-7.190996,g
-4.7765694,6.864639,g
5.709758,-5.5456915,g
-3.8433006,8.063567,g
0.9245982,-1.7239597,g
-1.3587408,7.373744,g
6.399511,-1.2886457,g
-0.78605056,1.9529117,g
1.7501789,-3.3513448,g
-3.8186648,-8.317737,g
12.032857,-0.35035965,g
-1.5701231,-2.8761313,g
4.554912,-4.2512574,g
-2.8295593,-8.476793,g
0.52570057,-6.545786,g
0.51978177,3.579243,g
-2.825988,-8.475351,g
10.52249,-3.8733883,g
-7.3368964,-2.9846249,g
11.206396,-2.762471,g
-2.228906,8.047864,g
-3.1447787,2.0639489,g
1.5667827,9.37855,g
-5.8135123,4.6102986,g
11.52504,5.49539,g
2.5221546,-2.2089894,g
0.60625696,-8.024643,g
-3.169221,1.7130421,g
4.6816072,-10.70564,g
-4.8514113,1.0738908,g
7.233843,5.93628,g
-1.9939646,6.6624613,g
-1.0867839,-1.8918928,g
-5.289021,-4.1025314,g
4.641207,-3.4644082,g
-1.2046429,-2.0163639,g
1.3283441,-4.591878,g
-4.0191274,1.1051676,g
4.4152045,9.673395,g
-1.9009724,-0.33508778,g
-0.9839134,9.529899,g
-3.3695047,8.766524,g
-1.9006985,1.2427579,g
2.6717608,-6.8690915,g
1.9528384,-2.2836058,g
6.3276772,-0.2743947,g
-0.5779031,1.8490375,g
-5.0665445,4.255815,g
-1.8218019,0.7545425,g
-10.884822,-2.7987196,g
5.460779,-3.1516316,g
-2.789781,-3.7512717,g
12.239972,1.0598068,g
-5.4475384,7.7777195,g
11.604616,-3.3834953,g
-4.087319,-2.4994216,g
3.2505789,6.2457123,g
-7.9608126,4.282083,g
-1.3239783,3.9112372,g
2.8247151,-1.1014613,g
3.3803031,-9.171401,g
-1.9757825,-7.7780175,g
-5.4365625,-0.9421099,g
0.5571077,2.5025926,g
-10.152356,4.9618373,g
-2.5873587,5.633543,g
-2.4085646,-5.707458,g
-3.7044005,5.91611,g
-2.3651252,-2.2649035,g
-5.689194,-2.9541774,g
5.7599897,-0.7779609,g
-1.0139836,-1.3338096,g
0.077850565,0.022103164,g
-0.9024999,3.459721,g
-5.991471,-3.6927495,g
5.2356,-7.005431,g
4.137972,2.533256,g
11.680157,0.4976679,g
6.552015,6.6505413,g
-4.2299933,1.9450294,g
-0.5273854,-2.290025,g
13.343178,3.37071,g
1.8065891,8.174802,g
4.226355,2.4751527,g
6.869042,2.5278885,g
2.2311456,2.523097,g
0.4516929,3.537727,g
4.561237,-4.4623265,g
1.7513169,-0.64871687,g
6.6066966,10.125865,g
5.9828086,3.8810258,g
-0.6561378,1.2469599,g
-7.8373475,1.2481104,g
8.87381,-2.342962,g
-7.08416,3.2734025,g
-5.819004,8.229969,g
-8.641912,-0.04047642,g
-1.0575417,0.20937587,g
-1.6805753,-0.7317165,g
6.9613357,-10.966487,g
-1.150468,-1.8013598,g
-0.97350925,0.32361272,g
-11.2952,-0.9122126,g
-2.4247534,-5.7255635,g
-3.4053001,0.34143904,g
1.8961407,-4.501992,g
1.7837026,-2.4990773,g
3.3822877,3.393874,g
3.2242618,-3.8636167,g
9.508751,3.0668027,g
-5.4431305,-1.0674103,g
5.120231,4.666524,g
6.6457667,1.1930754,g
8.835047,1.1119471,g
0.97176015,-0.19557,g
-0.4483521,7.2101574,g
5.9387712,2.1126556,g
6.002413,-0.8650418,g
3.2272298,-3.2713354,g
-0.0896348,8.33045,g
6.486666,-0.055709615,g
-0.5799619,5.0805984,g
-7.417416,5.2054515,g
-8.18807,6.474703,g
6.9135566,10.13694,g
-8.630889,-1.3603014,g
4.0054784,8.949171,g
1.4543823,-4.5133076,g
6.876916,5.673776,g
1.9979875,8.371902,g
4.5359936,-4.263454,g
-1.3381549,7.3662896,g
1.9646287,-11.407083,g
0.3514629,2.6272297,g
-3.3533664,10.28815,g
4.7804723,4.0351114,g
-11.636688,2.9696155,g
-6.855243,-4.5197988,g
-1.4831238,3.8243814,g
-0.19200309,-0.83991027,g
-2.2556286,-3.9278576,g
3.299142,-6.7513356,g
-1.6180815,0.45499852,g
-2.300996,-5.0695763,g
0.29735833,7.0269575,g
2.2964106,-2.2136993,g
-9.773233,-1.7058463,g
0.19509809,-3.6419215,g
-7.796821,3.651094,g
5.2418795,1.9656984,g
3.3279371,0.7079895,g
3.226114,6.621624,g
2.6666288,-0.866373,g
-9.394411,4.306827,g
-3.8201375,1.2563269,g
-4.7132263,-2.7895117,g
-2.6874802,1.2407262,g
-2.0475686,1.5435698,g
0.9360731,-9.111812,g
1.1232029,-4.3144035,g
-0.74635583,-1.007903,g
3.3300514,-3.8463736,g
-7.0783653,1.7119055,g
-0.5340462,0.7994108,g
1.0061942,-2.3901725,g
-0.78794605,-0.18212084,g
-3.4090197,1.6560773,g
-2.0397925,5.5912127,g
-0.038206495,-0.89517784,g
-1.0179071,-1.743708,g
-4.6850357,-8.238454,g
0.19887622,-0.4494832,g
5.3897142,-7.4938927,g
7.3866,-3.9818482,g
8.808931,-4.6143713,g
0.9543474,-2.393958,g
2.292128,1.6288804,g
3.3351698,-9.102683,g
2.546114,7.125065,g
5.7650504,-10.563699,g
-2.9344933,1.432567,g
-1.0956974,2.9241107,g
10.4568,-4.5614944,g
0.1804128,-5.855012,g
3.062992,1.0945604,g
-2.1686988,1.1647258,g
2.9818645,-3.6357672,g
-0.32795724,2.1773508,g
-1.0096064,7.901241,g
-0.95295715,-2.9626772,g
-2.9065144,6.5334687,g
-4.024062,-11.066641,g
6.025651,4.540149,g
-5.452698,4.4606185,g
-3.5301764,1.8843952,g
8.746392,6.6131067,g
2.0648062,-6.9227505,g
-9.354032,-4.637486,g
-7.8063145,5.2540793,g
-1.7101002,3.6472547,g
2.8033032,-3.6400173,g
-7.300943,5.8117185,g
-6.0711074,9.194286,g
-3.1648536,1.1619815,g
3.2939045,3.757496,g
3.3337438,1.9336983,g
-3.641585,1.6414524,g
-4.923395,2.0389385,g
5.413823,-6.2986336,g
-6.2565475,-3.4746904,g
9.506681,3.0670738,g
5.0944004,-4.5785346,g
-11.659223,6.885864,g
2.2602758,-3.0091126,g
4.0902467,3.4327133,g
5.513439,-3.229858,g
-9.039189,-2.3531837,g
6.3865275,-0.718115,g
-4.995972,-3.7669594,g
0.43306836,-1.1137986,g
-3.5481098,-0.5872788,g
1.7253994,-8.941615,g
6.867595,5.715118,g
-5.917037,2.7207093,g
-0.4496537,1.8937702,g
0.91180784,0.6004203,g
7.321297,6.6974626,g
-3.6205955,0.6149268,g
-3.043049,8.41408,g
1.6460487,0.4435698,g
6.3411393,-2.5228846,g
-7.055444,4.075322,g
2.003891,10.4362,g
-6.841816,4.685306,g
-3.2694426,1.9114292,g
-5.9011884,-3.331744,g
-1.6772516,-3.0535777,g
10.51833,5.477943,g
10.474419,7.217813,g
-0.7420926,-1.0291361,g
1.1848453,6.078071,g
-0.21773683,2.024167,g
-6.784173,0.11546584,g
8.2805395,5.3004875,g
1.9163069,-6.235618,g
2.3447223,-0.4952473,g
2.5544045,-2.771758,g
-3.6592095,-3.7790985,g
4.945256,5.431129,g
0.1732002,-9.435985,g
-3.82863,-3.2686825,g
3.2848399,-9.126676,g
-0.4157423,-1.6275749,g
-5.074985,-3.981104,g
1.5445361,-0.8674351,g
0.6413181,-3.0845678,g
8.302744,-4.8127856,g
-7.629595,2.0880497,g
-7.7892222,7.614636,g
2.1922255,8.021445,g
-0.27990285,1.2362826,g
-0.18152966,-2.286462,g
-5.863686,-3.866674,g
3.2954378,6.16177,g
2.5478418,-0.38970518,g
-2.8266904,1.860014,g
-6.3859434,-0.35940066,g
4.9849653,0.6912334,g
-4.8409634,6.8670278,g
-11.672428,-3.7165728,g
-7.3918657,-7.715807,g
-8.487817,7.5352116,g
-5.708855,4.4482775,g
-7.232917,6.5311756,g
-10.610295,-7.666719,g
-9.260063,-1.2638121,g
-5.213647,-0.8533915,g
8.971498,0.1690552,g
4.0008287,12.201299,g
-0.16610812,-7.863229,g
-7.831453,3.6149335,g
-0.96259034,-0.3386831,g
1.7194381,4.222671,g
-4.8454576,4.0001707,g
-3.1141937,-0.1868559,g
-9.357332,4.335861,g
-2.9185317,-6.446122,g
4.014849,7.738925,g
2.1598582,0.606881,g
-8.787058,3.6652856,g
2.3720477,1.6041265,g
-5.1180706,5.9734426,g
2.3799527,-4.801728,g
-6.2392416,6.7380915,g
9.559333,0.10427162,g
-5.860089,-3.899554,g
-2.8094687,13.170109,g
-3.0658193,-4.4034634,g
-6.4700603,-6.7923117,g
1.5521153,-0.020771237,g
5.631574,6.6624084,g
8.131317,-5.7111325,g
-1.7760483,-7.5672226,g
-6.546953,6.46299,g
10.126284,-2.5557804,g
9.024485,-1.6456714,g
-3.1834714,-0.34523585,g
-9.655886,-2.6489036,g
7.244637,3.1774578,g
1.892882,-2.3063374,g
-1.391752,3.048582,g
7.8323975,-6.5585966,g
0.3836524,-3.9092278,g
4.514951,-2.4082987,g
8.156458,0.66950494,g
6.3571405,-1.5396239,g
6.6043243,10.130302,g
-5.299109,-6.4872394,g
-1.700516,-0.73131275,g
-6.7381115,0.8403714,g
-1.9165585,0.668043,g
-0.39724812,3.5500546,g
-6.983277,-0.20131461,g
-5.361539,-4.4491487,g
-10.146997,-6.3961787,g
3.3447523,-9.048809,g
-7.1671133,8.022785,g
-3.6885111,1.7815012,g
-2.1284256,0.25541532,g
5.7319975,3.73944,g
-1.3199601,-0.24647751,g
-9.068536,-4.5586214,g
-7.0327744,-10.322898,g
-11.462286,0.7753471,g
-0.60614663,-9.217346,g
-0.15252854,0.6563475,g
-6.8986692,-3.5674286,g
7.0513263,-3.6122375,g
6.2894616,7.561486,g
-0.57319367,7.3029723,g
-3.9986014,0.99841595,g
5.232502,-7.0054154,g
-0.13526285,-3.359962,g
-3.4536493,-2.1274672,g
-0.59370583,7.812203,g
4.1686335,0.20347059,g
-4.741473,0.08172051,g
-4.633536,11.333833,g
-0.9034605,7.9710507,g
-8.8042555,8.5552845,g
-6.4522195,-2.0799954,g
-2.4441082,-1.8551884,g
4.449784,-4.641127,g
6.63472,-1.5072926,g
-9.862094,0.83478117,g
-1.8573447,-7.686004,g
-2.771688,2.8075325,g
-2.3046088,1.3797883,g
2.3544953,-1.196839,g
5.069819,-9.496675,g
-4.4076743,5.4713283,g
-5.507242,-1.1052896,g
-4.2365513,-0.6053194,g
-6.0500684,4.2393975,g
-1.01548,-4.9161134,g
-7.9674096,6.1544075,g
-9.065521,-1.8733636,g
6.6258817,-1.5932117,g
9.527753,1.4266965,g
-6.3431377,-1.9725733,g
1.5732701,-6.5247593,g
-6.9773674,-0.19159354,g
-5.50729,-1.0994166,g
-0.54240435,-7.7206273,g
-0.21506053,2.0637362,g
3.7386472,-10.202789,g
-0.9818924,2.3730247,g
-2.5153947,5.893463,g
4.973095,-2.732769,g
3.1661453,0.07075779,g
-5.0727763,-3.9508586,g
5.7539735,-0.11875159,g
8.826698,-2.431433,g
-1.54209,-13.233722,g
3.5208359,3.739238,g
-3.1195536,10.269017,g
-3.0981052,6.88272,g
8.558359,2.1717772,g
-0.5298749,-1.0761031,g
0.4310164,-8.798298,g
3.0767934,-2.0925384,g
2.0492458,-4.1202154,g
-5.8370624,3.249203,g
-6.8140326,-1.3602161,g
-0.50263256,10.030445,g
-1.7972826,11.755614,g
0.35818163,4.6170607,g
5.552414,-8.309462,g
-10.317958,0.5783146,g
6.835082,-11.083098,g
-1.7212675,-7.538166,g
2.7626991,1.4830259,g
2.65487,-8.232972,g
1.0798512,-4.894611,g
0.29443204,-5.0607405,g
5.6606555,4.5577445,g
1.0211318,-1.3735344,g
0.41680354,2.3489335,g
6.537735,-5.4309044,g
5.738191,0.26869148,g
-1.498105,1.8212484,g
0.56694597,-6.5497775,g
-1.4602026,-5.4502563,g
-1.3993187,-9.854159,g
2.7547321,3.6502101,g
-2.3001728,-4.408738,g
7.545675,-2.0395548,g
2.0801244,-11.125112,g
-5.795979,-0.6141926,g
6.146941,1.8116692,g
-2.6308093,0.64337975,g
4.962201,3.4396603,g
1.541478,-4.2195683,g
5.9784636,3.8790245,g
-10.381914,4.0990076,g
-6.958848,-3.3733797,g
0.4313024,2.3117795,g
8.442474,-3.8275616,g
-0.8851775,1.987635,g
-5.9844885,3.2949588,g
-2.852739,0.9613676,g
7.7514324,8.437657,g
6.9588084,-2.6533597,g
-4.005312,3.0025551,g
5.676444,-0.7983756,g
-6.8013716,-5.6108904,g
-8.448067,-5.304835,g
-11.801293,-2.081411,g
1.1700945,-1.4401166,g
2.5250773,4.6105704,g
0.6149686,-8.013077,g
-2.3367677,-1.8000216,g
-0.21569537,2.002558,g
5.5536885,-8.285543,g
-7.1026454,3.917278,g
-7.899932,8.968862,g
-7.427748,-7.0838223,g
-5.1598444,5.893844,g
0.20371264,-0.53908753,g
8.137769,-1.30394,g
2.8005471,-1.096789,g
-2.0420752,0.4700704,g
6.5626316,1.3196272,g
0.40434384,-4.733914,g
-9.27447,1.7581509,g
-2.5354326,2.046743,g
-7.009416,1.6059781,g
-1.3216628,-0.9447776,g
-2.4651208,6.5147624,g
-1.0375606,0.45102686,g
-8.140874,-1.5293685,g
8.6298895,-3.0558422,g
2.061737,-2.392591,g
-3.0605533,1.8473749,g
0.07080342,-3.6000397,g
-0.5699286,-1.8193096,g
-5.5388536,-5.508898,g
-0.75191134,5.001023,g
2.2822335,9.532048,g
7.004513,-4.1444845,g
-11.55389,-1.4796225,g
4.498894,-2.602574,g
-2.1957793,0.71347266,g
-1.4544799,-2.1020112,g
-0.36411577,9.244808,g
1.8416831,3.2708175,g
-4.219988,-4.8841987,g
-0.7166383,-3.148733,g
2.9187891,-0.55151284,g
-6.0254817,5.401851,g
5.1665974,-4.4730344,g
-4.421031,1.6639782,g
-0.9579898,-0.5014577,g
-1.5699117,3.6551404,g
-2.831514,6.6218867,g
1.0611558,5.99812,g
4.715196,-4.406851,g
-2.635517,-1.840004,g
-0.8495746,2.1086612,g
2.2662818,-5.5678215,g
-0.1862686,2.2095084,g
1.6352496,-3.4936347,g
0.13087957,3.0958605,g
7.6832027,-1.2391067,g
5.562258,-8.267585,g
3.6145325,-5.162255,g
0.24168703,-1.1179317,g
-6.4545617,-6.8010054,g
-0.017690446,0.89352626,g
4.0044036,2.9877775,g
-0.39195195,-3.173817,g
-3.3232784,-9.477404,g
-8.05348,-0.639023,g
-0.8247454,-0.45005155,g
-3.6340477,4.3557487,g
2.3515573,5.8079276,g
1.1290836,-3.5754185,g
-8.983559,-2.7159302,g
-3.948396,-0.79009986,g
6.9351935,-3.770051,g
-2.4411876,-7.47005,g
5.3277197,-4.9044843,g
0.45196444,-2.7419763,g
-4.4182906,5.060026,g
-1.2448916,-3.939763,g
-8.475878,4.909671,g
-4.0443287,1.7556347,g
2.069754,-2.8398147,g
-8.761856,-9.777174,g
-6.1701303,-8.069512,g
2.2878199,-9.880874,g
-0.71566623,-1.0604837,g
-4.3248906,-9.287811,g
10.509249,-1.8500472,g
-1.7173971,-2.419837,g
2.6253843,-2.732383,g
-2.7526417,1.2022222,g
-1.1960816,-3.8263397,g
1.9572109,-2.7257123,g
3.7937074,-6.407811,g
-4.8106446,1.074285,g
-4.26592,2.1054575,g
-1.6106296,3.622478,g
-1.4161967,-6.156815,g
-0.20953165,-0.5668649,g
4.688854,-5.904171,g
-2.4180164,1.4851633,g
-2.6937368,1.0860019,g
-1.273204,-1.027078,g
1.0341794,-10.317418,g
8.2377205,1.1564746,g
-10.744739,2.4859507,g
1.3985921,-3.3954833,g
1.3016783,5.045825,g
-1.7697444,-7.596527,g
-1.423884,-0.8113923,g
-1.029096,-0.2162233,g
-0.55297244,-7.716429,g
-3.1155577,1.933691,g
-4.800997,5.1537857,g
2.8721535,-5.383122,g
-5.1372705,-2.4169736,g
7.489737,-7.9800406,g
-2.656538,4.445519,g
2.7050195,6.43202,g
0.73759574,3.086763,g
6.865401,-1.2579222,g
3.2030692,-8.408575,g
-0.11442719,2.5847502,g
9.898212,-1.4350783,g
4.230326,-9.523643,g
-0.6750551,-2.6798768,g
-7.3840394,3.3633938,g
-3.211075,-1.1220803,g
-1.7396413,-3.1925313,g
-2.0859244,-1.02713,g
-5.609854,-7.014531,g
9.375435,-2.8103356,g
7.175076,-4.107063,g
6.9540076,-0.20648773,g
6.6464767,7.462797,g
2.8012075,-5.7912245,g
5.331376,0.46399257,g
-4.1600766,4.943083,g
2.6784074,-5.540915,g
5.892754,-4.865985,g
7.284204,3.1568346,g
7.567095,-1.1484994,g
2.6510255,10.595385,g
13.053861,-2.7994475,g
5.2348523,3.0613062,g
-2.0711339,-6.176912,g
-3.8019407,1.1713545,g
-0.539873,3.1744134,g
2.5443902,5.8618317,g
2.3482704,-1.548373,g
6.4763064,1.4727615,g
7.5207148,5.053449,g
